""
"Fecha: 20170106061614, Artículo: https://web.archive.org/web/20170106061614/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170106061614, Artículo: https://web.archive.org/web/20170106061614/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170106061614, Artículo: https://web.archive.org/web/20170106061614/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20170109105829, Artículo: https://web.archive.org/web/20170109105829/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170109105829, Artículo: https://web.archive.org/web/20170109105829/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170109105829, Artículo: https://web.archive.org/web/20170109105829/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20170114094450, Artículo: https://web.archive.org/web/20170114094450/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170114094450, Artículo: https://web.archive.org/web/20170114094450/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170114094450, Artículo: https://web.archive.org/web/20170114094450/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20170115152105, Artículo: https://web.archive.org/web/20170115152105/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170115152105, Artículo: https://web.archive.org/web/20170115152105/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170115152105, Artículo: https://web.archive.org/web/20170115152105/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20170209043149, Artículo: https://web.archive.org/web/20170209043149/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170209043149, Artículo: https://web.archive.org/web/20170209043149/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170209043149, Artículo: https://web.archive.org/web/20170209043149/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20170210051115, Artículo: https://web.archive.org/web/20170210051115/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170210051115, Artículo: https://web.archive.org/web/20170210051115/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170210051115, Artículo: https://web.archive.org/web/20170210051115/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20170214105309, Artículo: https://web.archive.org/web/20170214105309/https://www.elmundo.es/sociedad/2017/02/14/58a1fd3ce2704ef2358b458a.html"
"Fecha: 20170214105309, Artículo: https://web.archive.org/web/20170214105309/https://www.elmundo.es/sociedad/2017/02/13/58a1b5cf468aeb27778b463d.html"
"Fecha: 20170214105309, Artículo: https://web.archive.org/web/20170214105309/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170214105309, Artículo: https://web.archive.org/web/20170214105309/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170214105309, Artículo: https://web.archive.org/web/20170214105309/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20170215122301, Artículo: https://web.archive.org/web/20170215122301/https://www.elmundo.es/sociedad/2017/02/14/58a1fd3ce2704ef2358b458a.html"
"Fecha: 20170215122301, Artículo: https://web.archive.org/web/20170215122301/https://www.elmundo.es/sociedad/2017/02/13/58a1b5cf468aeb27778b463d.html"
"Fecha: 20170215122301, Artículo: https://web.archive.org/web/20170215122301/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170215122301, Artículo: https://web.archive.org/web/20170215122301/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170215122301, Artículo: https://web.archive.org/web/20170215122301/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20170218144024, Artículo: https://web.archive.org/web/20170218144024/https://www.elmundo.es/sociedad/2017/02/14/58a1fd3ce2704ef2358b458a.html"
"Fecha: 20170218144024, Artículo: https://web.archive.org/web/20170218144024/https://www.elmundo.es/sociedad/2017/02/13/58a1b5cf468aeb27778b463d.html"
"Fecha: 20170218144024, Artículo: https://web.archive.org/web/20170218144024/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170218144024, Artículo: https://web.archive.org/web/20170218144024/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170218144024, Artículo: https://web.archive.org/web/20170218144024/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20170219152151, Artículo: https://web.archive.org/web/20170219152151/https://www.elmundo.es/sociedad/2017/02/14/58a1fd3ce2704ef2358b458a.html"
"Fecha: 20170219152151, Artículo: https://web.archive.org/web/20170219152151/https://www.elmundo.es/sociedad/2017/02/13/58a1b5cf468aeb27778b463d.html"
"Fecha: 20170219152151, Artículo: https://web.archive.org/web/20170219152151/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170219152151, Artículo: https://web.archive.org/web/20170219152151/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170219152151, Artículo: https://web.archive.org/web/20170219152151/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20170220201139, Artículo: https://web.archive.org/web/20170220201139/https://www.elmundo.es/sociedad/2017/02/14/58a1fd3ce2704ef2358b458a.html"
"Fecha: 20170220201139, Artículo: https://web.archive.org/web/20170220201139/https://www.elmundo.es/sociedad/2017/02/13/58a1b5cf468aeb27778b463d.html"
"Fecha: 20170220201139, Artículo: https://web.archive.org/web/20170220201139/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170220201139, Artículo: https://web.archive.org/web/20170220201139/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170220201139, Artículo: https://web.archive.org/web/20170220201139/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20170221152345, Artículo: https://web.archive.org/web/20170221152345/https://www.elmundo.es/sociedad/2017/02/14/58a1fd3ce2704ef2358b458a.html"
"Fecha: 20170221152345, Artículo: https://web.archive.org/web/20170221152345/https://www.elmundo.es/sociedad/2017/02/13/58a1b5cf468aeb27778b463d.html"
"Fecha: 20170221152345, Artículo: https://web.archive.org/web/20170221152345/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170221152345, Artículo: https://web.archive.org/web/20170221152345/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170221152345, Artículo: https://web.archive.org/web/20170221152345/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20170222212705, Artículo: https://web.archive.org/web/20170222212705/https://www.elmundo.es/sociedad/2017/02/14/58a1fd3ce2704ef2358b458a.html"
"Fecha: 20170222212705, Artículo: https://web.archive.org/web/20170222212705/https://www.elmundo.es/sociedad/2017/02/13/58a1b5cf468aeb27778b463d.html"
"Fecha: 20170222212705, Artículo: https://web.archive.org/web/20170222212705/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170222212705, Artículo: https://web.archive.org/web/20170222212705/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170222212705, Artículo: https://web.archive.org/web/20170222212705/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20170226143328, Artículo: https://web.archive.org/web/20170226143328/https://www.elmundo.es/sociedad/2017/02/14/58a1fd3ce2704ef2358b458a.html"
"Fecha: 20170226143328, Artículo: https://web.archive.org/web/20170226143328/https://www.elmundo.es/sociedad/2017/02/13/58a1b5cf468aeb27778b463d.html"
"Fecha: 20170226143328, Artículo: https://web.archive.org/web/20170226143328/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170226143328, Artículo: https://web.archive.org/web/20170226143328/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170227144515, Artículo: https://web.archive.org/web/20170227144515/https://www.elmundo.es/sociedad/2017/02/14/58a1fd3ce2704ef2358b458a.html"
"Fecha: 20170227144515, Artículo: https://web.archive.org/web/20170227144515/https://www.elmundo.es/sociedad/2017/02/13/58a1b5cf468aeb27778b463d.html"
"Fecha: 20170227144515, Artículo: https://web.archive.org/web/20170227144515/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170227144515, Artículo: https://web.archive.org/web/20170227144515/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170301090808, Artículo: https://web.archive.org/web/20170301090808/https://www.elmundo.es/sociedad/2017/02/14/58a1fd3ce2704ef2358b458a.html"
"Fecha: 20170301090808, Artículo: https://web.archive.org/web/20170301090808/https://www.elmundo.es/sociedad/2017/02/13/58a1b5cf468aeb27778b463d.html"
"Fecha: 20170301090808, Artículo: https://web.archive.org/web/20170301090808/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
